Classification,Feature,One-liner Explanation
Non-Negotiable Benefits,Infinite Care,Get one-time infinite claim amount for your selected claim.
Non-Negotiable Benefits,No Sub-limits,"Avoids caps on ICU charges, Surgeries, Room category & Modern treatments. Sub-limits drastically reduce claim payouts."
Non-Negotiable Benefits,Consumables Cover,"Items like gloves, syringes, stents, implants, robotic surgery, etc. should be covered or reimbursed."
Non-Negotiable Benefits,Inflation Protector,"Infllation Protector automatically increases your health cover every year, keeping you protected against rising medical costs"
Non-Negotiable Benefits,No Claim Bonus,Your sum insured should increase every claim-free year without increasing premium.
Non-Negotiable Benefits,Restoration Benefit,Reinstates exhausted sum insured after claim usage.
Must Have,In Patient Hospitalization,Covers medical expenses for hospitalisation exceeding 24 hours.
Must Have,2 Hours Hospitalization,Covers specified treatments requiring minimum 2 hours of hospitalisation.
Must Have,Pre & Post Hospitalization,Covers medical expenses incurred before and after hospitalisation as defined.
Must Have,Room Rent,Covers hospital room charges up to eligible limits.
Must Have,ICU Charges,Covers expenses incurred for treatment in ICU.
Must Have,Day Care Treatments,Covers listed procedures not requiring 24-hour admission.
Must Have,Claim Protector,Waives non-payable and consumable deductions during claims.
Must Have,Safe Guard,"Claim Safeguard – Covers non-payable items during hospitalization.
Booster Benefit Safeguard – Full sum insured carried forward if claims are under ₹50,000.
Sum Insured Safeguard – Base sum insured increases annually for inflation."
Must Have,Safe Guard +,"Claim Safeguard+: All Non-payable items will be covered (as per list I, II, III, IV)
Booster+ Safeguard+: No impact on Booster+ if claim in a policy year is less than INR 1,00,000
Sum Insured Safeguard+: Inflation linked increase in Base Sum Insured"
Good to Have,Domiciliary Treatment,Covers treatment taken at home due to medical necessity.
Good to Have,AYUSH Treatment,"Covers Ayurveda, Yoga, Unani, Siddha and Homeopathy treatments."
Good to Have,Ambulance Cover,Covers emergency ambulance transportation expenses.
Good to Have,Donor Expenses,Covers organ donor hospitalisation costs when insured is recipient.
Good to Have,Health Check-up,Covers preventive health check-ups at specified intervals.
Good to Have,Air Ambulance,Covers emergency transportation through air ambulance.
Good to Have,Second E-opinion,Provides expert second medical opinion for major illnesses.
Good to Have,Sum Insured Protector,Protects base sum insured from reduction due to claims.
Good to Have,Surrogate Mother Hospitalisation,Covers hospitalisation expenses related to surrogate mother.
Good to Have,Oocyte Donor Hospitalisation,Covers hospitalisation of egg donor for assisted reproduction.
Good to Have,Bariatric Surgery,Covers weight-loss surgery subject to medical criteria.
Good to Have,Nursing at Home,Covers medical nursing care provided at home.
Good to Have,Waiver of Deductible,Deductible amount is waived off for claims.
Good to Have,Guaranteed Deductible Reduction,Deductible reduces over continuous policy years.
Good to Have,Teleconsultation,Provides doctor consultation via phone or video.
Good to Have,Shared Accomodation,Allows the insured to opt for a shared hospital room with applicable room rent discounts or reduced co-payment
Good to Have,Specific Illness Waiting Period Reduction,Reduces waiting period for listed illnesses to one year.
Special Features,Durable Medical Equipment,Covers medically necessary equipment prescribed post-hospitalisation.
Special Features,Dependent Accommodation Benefit,Covers accommodation expenses for an attendant.
Special Features,Power Booster,Increases sum insured annually irrespective of claims.
Special Features,Compassionate Visit,Covers travel expenses of close family during hospitalisation.
Special Features,Convalescence Benefit,Provides lump-sum benefit after prolonged hospitalisation.
Special Features,Critical Illness,Pays lump-sum on diagnosis of specified critical illnesses.
Special Features,Personal Accident,Covers accidental death or permanent disability.
Special Features,OPD+,"Covers outpatient consultations, diagnostics and medicines."
Special Features,Befit,"Covers outpatient consultations, diagnostics and medicines."
Special Features,Modern Treatment,Covers advanced medical treatments like robotic surgery.
Special Features,Worldwide Treatment,Covers planned treatment taken outside India.
Special Features,Animal Bite Vaccination,Covers vaccination expenses due to animal bite.
Special Features,Daily Allowance,Pays fixed daily amount during hospitalisation.
Special Features,Fast Forward,Combine Multi Tenure Sum Insured to be used Anytime. Applicable for Base and M-iracle Sum Insured.
Special Features,Future Ready,Guaranteed Issuance & Continuity on waiting periods served by you for your future spouse
Special Features,Technological Advancements,Covers approved new-age medical technologies.
Special Features,Enhanced SI for Road Traffic Accident,Provides higher coverage for accident-related hospitalisation.
Special Features,Vaccination Cover,Covers specified preventive vaccinations.
Special Features,Infertility Treatment,Covers infertility treatment expenses if opted.
Special Features,Robotic & Cyber Knife Surgery,Covers robotic and cyberknife procedures.
Special Features,Mental Care Cover,Covers inpatient mental health treatment.
Special Features,Medical Evacuation,Covers emergency transfer to nearest medical facility.
Special Features,Medical Repatriation,Covers cost of returning insured to home country.
